"","animal_id","po2","scaled_depth"
"5505","tgut15",5.00005927794487,1789.04761904762
"5506","tgut15",5.12575316335049,1768
"5507","tgut15",5.09784434203089,1746.95238095238
"5508","tgut15",4.92556596849433,1725.90476190476
"5509","tgut15",5.05272876493791,1704.85714285714
"5510","tgut15",5.03510232088408,1683.80952380952
"5511","tgut15",5.16688169561,1662.7619047619
"5512","tgut15",4.82736121612787,1641.71428571429
"5513","tgut15",4.91528408065855,1620.66666666667
"5514","tgut15",4.97005201213843,1599.61904761905
"5515","tgut15",4.87961101381225,1578.57142857143
"5516","tgut15",4.90689030271119,1557.52380952381
"5517","tgut15",4.75979277358672,1536.47619047619
"5518","tgut15",4.78959019525294,1515.42857142857
"5519","tgut15",4.78560315041948,1494.38095238095
"5520","tgut15",4.66116833191161,1473.33333333333
"5521","tgut15",3.71374220210116,1452.28571428571
"5522","tgut15",4.41334742719519,1431.2380952381
"5523","tgut15",4.50840500277549,1410.19047619048
"5524","tgut15",4.40285569419098,1389.14285714286
"5525","tgut15",4.51365062404849,1368.09523809524
"5526","tgut15",4.15188712223019,1347.04761904762
"5527","tgut15",3.70136137932033,1326
"5528","tgut15",4.11600470170188,1304.95238095238
"5529","tgut15",4.05347252572351,1283.90476190476
"5530","tgut15",3.86482677605909,1262.85714285714
"5531","tgut15",3.70345982380717,1241.80952380952
"5532","tgut15",3.78844486626192,1220.7619047619
"5533","tgut15",3.66401004775405,1199.71428571429
"5534","tgut15",3.6627509808563,1178.66666666667
"5535","tgut15",3.4883741628329,1157.61904761905
"5536","tgut15",3.46801974084336,1136.57142857143
"5537","tgut15",3.32784707862829,1115.52380952381
"5538","tgut15",3.27622632393457,1094.47619047619
"5539","tgut15",3.09177746324382,1073.42857142857
"5540","tgut15",2.88277704584664,1052.38095238095
"5541","tgut15",3.07247226401181,1031.33333333333
"5542","tgut15",3.00196599836652,1010.28571428571
"5543","tgut15",3.36016214466,989.238095238095
"5544","tgut15",2.86808842489697,968.190476190476
"5545","tgut15",2.71763338438791,947.142857142857
"5546","tgut15",2.54052858842879,926.095238095238
"5547","tgut15",2.52856770069983,905.047619047619
"5548","tgut15",2.58312603172628,884
"5549","tgut15",2.40035568149872,862.952380952381
"5550","tgut15",2.31600017249285,841.904761904762
"5551","tgut15",2.04866446911919,820.857142857143
"5552","tgut15",1.99284707016679,799.809523809524
"5553","tgut15",2.0889536227614,778.761904761905
"5554","tgut15",1.79643732071887,757.714285714286
"5555","tgut15",1.7706269428579,736.666666666667
"5556","tgut15",1.69802247846898,715.619047619048
"5557","tgut15",1.57064983788517,694.571428571429
"5558","tgut15",1.57484648111564,673.52380952381
"5559","tgut15",1.27498562285506,652.47619047619
"5560","tgut15",1.43404428647991,631.428571428571
"5561","tgut15",1.40991266379713,610.380952380952
"5562","tgut15",1.33269162215409,589.333333333333
"5563","tgut15",1.15201971538516,568.285714285714
"5564","tgut15",1.10543522725421,547.238095238095
"5565","tgut15",1.08025462858533,526.190476190476
"5566","tgut15",0.795292236442851,505.142857142857
"5567","tgut15",0.832433846226406,484.095238095238
"5568","tgut15",0.674634495242512,463.047619047619
"5569","tgut15",0.502565966874382,442
"5570","tgut15",0.512218565976281,420.952380952381
"5571","tgut15",0.511379188387187,399.904761904762
"5572","tgut15",0.363861969954066,378.857142857143
"5573","tgut15",0.214875840482976,357.809523809524
"5574","tgut15",0.141641720287679,336.761904761905
"5575","tgut15",0.0491025232178708,315.714285714286
"5576","tgut15",-0.0499418524808954,294.666666666667
"5577","tgut15",0.095896733131539,273.619047619048
"5578","tgut15",0.41527263579257,252.571428571429
"5579","tgut15",-0.0474237186854003,231.52380952381
"5580","tgut15",0.180671930417856,210.47619047619
"5581","tgut15",-0.0560272184154851,189.428571428571
"5582","tgut15",-0.039030185453035,168.380952380952
"5583","tgut15",0.0442762231528144,147.333333333333
"5584","tgut15",0.0148986131527507,126.285714285714
"5585","tgut15",0.0211938242557745,105.238095238095
"5586","tgut15",0.491024766397648,84.1904761904762
"5587","tgut15",1.17782984750291,63.1428571428571
"5588","tgut15",14.2537779834283,42.0952380952381
"5589","tgut15",26.4551140543857,21.047619047619
"5590","tgut15",40.08734512,0
"6234","tgut28",13.2912925976171,2497.3
"6235","tgut28",13.4374006439467,2475.2
"6236","tgut28",13.6405206855072,2453.1
"6237","tgut28",13.8532452139849,2431
"6238","tgut28",14.0761863319958,2408.9
"6239","tgut28",14.266433224025,2386.8
"6240","tgut28",14.3197669061826,2364.7
"6241","tgut28",14.4109055021871,2342.6
"6242","tgut28",14.5778563880553,2320.5
"6243","tgut28",14.665725370214,2298.4
"6244","tgut28",14.7317288085272,2276.3
"6245","tgut28",14.8406459360764,2254.2
"6246","tgut28",14.9091015797676,2232.1
"6247","tgut28",14.9415924223866,2210
"6248","tgut28",14.9229974436187,2187.9
"6249","tgut28",14.8392154837737,2165.8
"6250","tgut28",14.9103496559101,2143.7
"6251","tgut28",14.8884630948493,2121.6
"6252","tgut28",14.8729324240752,2099.5
"6253","tgut28",14.8449373029974,2077.4
"6254","tgut28",14.7570683208387,2055.3
"6255","tgut28",14.6170908029732,2033.2
"6256","tgut28",14.6442694768278,2011.1
"6257","tgut28",14.4773186009726,1989
"6258","tgut28",14.4045706291157,1966.9
"6259","tgut28",14.3077111551063,1944.8
"6260","tgut28",14.1851034695579,1922.7
"6261","tgut28",14.1930721983205,1900.6
"6262","tgut28",14.0385867240008,1878.5
"6263","tgut28",13.9588917764566,1856.4
"6264","tgut28",13.7802928875078,1834.3
"6265","tgut28",13.7161286107377,1812.2
"6266","tgut28",13.536712323334,1790.1
"6267","tgut28",13.3309357217754,1768
"6268","tgut28",13.1897321062274,1745.9
"6269","tgut28",12.9663822789761,1723.8
"6270","tgut28",12.9363436517479,1701.7
"6271","tgut28",12.6557755621691,1679.6
"6272","tgut28",12.4867811701506,1657.5
"6273","tgut28",12.3110441570649,1635.4
"6274","tgut28",12.1257016958173,1613.3
"6275","tgut28",11.9432201391751,1591.2
"6276","tgut28",11.712309331157,1569.1
"6277","tgut28",11.5706970163815,1547
"6278","tgut28",11.3418297145138,1524.9
"6279","tgut28",11.1620047178697,1502.8
"6280","tgut28",10.9106588183088,1480.7
"6281","tgut28",10.7130562613777,1458.6
"6282","tgut28",10.5205615085778,1436.5
"6283","tgut28",10.0889828743901,1414.4
"6284","tgut28",9.94920971114475,1392.3
"6285","tgut28",9.71094226696712,1370.2
"6286","tgut28",9.48840889094423,1348.1
"6287","tgut28",9.28120183307777,1326
"6288","tgut28",9.00635653197773,1303.9
"6289","tgut28",8.75541933264566,1281.8
"6290","tgut28",8.64956746632464,1259.7
"6291","tgut28",8.45768672761591,1237.6
"6292","tgut28",8.31791356336928,1215.5
"6293","tgut28",8.08782015781135,1193.4
"6294","tgut28",7.93088247210601,1171.3
"6295","tgut28",7.6801491457705,1149.2
"6296","tgut28",7.55141093175801,1127.1
"6297","tgut28",7.25899145072964,1105
"6298","tgut28",7.13290979871783,1082.9
"6299","tgut28",6.91977656400358,1060.8
"6300","tgut28",6.6365528746701,1038.7
"6301","tgut28",6.37825904218237,1016.6
"6302","tgut28",6.15061737039162,994.5
"6303","tgut28",5.82958971543902,972.4
"6304","tgut28",5.66488669434664,950.3
"6305","tgut28",5.50243105640641,928.2
"6306","tgut28",5.19019001329886,906.1
"6307","tgut28",4.96929192181735,884
"6308","tgut28",4.74859818095087,861.9
"6309","tgut28",4.42736569776476,839.8
"6310","tgut28",4.12288999004424,817.7
"6311","tgut28",3.91098286202411,795.6
"6312","tgut28",3.55909845745091,773.5
"6313","tgut28",3.26197914357615,751.4
"6314","tgut28",3.02595908455325,729.3
"6315","tgut28",2.74988743845051,707.2
"6316","tgut28",2.46421129842149,685.1
"6317","tgut28",2.01076711337922,663
"6318","tgut28",1.71773446035014,640.9
"6319","tgut28",1.48988843694305,618.8
"6320","tgut28",1.23609044414954,596.7
"6321","tgut28",1.04523098290012,574.6
"6322","tgut28",0.862575279754365,552.5
"6323","tgut28",0.481031046461796,530.4
"6324","tgut28",0.227028673014351,508.3
"6325","tgut28",0.0506778731318696,486.2
"6326","tgut28",-0.024521549125238,464.1
"6327","tgut28",-0.0320823616742159,442
"6328","tgut28",0.045160517669746,419.9
"6329","tgut28",-0.0917514626097734,397.8
"6330","tgut28",-0.00224780670060246,375.7
"6331","tgut28",-0.0286084703080225,353.6
"6332","tgut28",-0.0833732676265725,331.5
"6333","tgut28",-0.094407963531371,309.4
"6334","tgut28",-0.0463865973288723,287.3
"6335","tgut28",-0.106464392485431,265.2
"6336","tgut28",-0.104216582780945,243.1
"6337","tgut28",-0.0709081464541042,221
"6338","tgut28",-0.0467952885459839,198.9
"6339","tgut28",0.463252934460395,176.8
"6340","tgut28",1.75247340004578,154.7
"6341","tgut28",6.73647808652486,132.6
"6342","tgut28",12.9518733612773,110.5
"6343","tgut28",23.3394058596607,88.4
"6344","tgut28",38.8204738327058,66.3
"6345","tgut28",57.9346108422212,44.2
"6346","tgut28",74.205882805933,22.1
"6347","tgut28",77.22562408,0
"6425","tgut31",12.1122262428782,2486.25
"6426","tgut31",11.9595823478643,2458.625
"6427","tgut31",11.9775649480189,2431
"6428","tgut31",12.0746272228763,2403.375
"6429","tgut31",11.8449461755924,2375.75
"6430","tgut31",12.022928218674,2348.125
"6431","tgut31",12.0116900548067,2320.5
"6432","tgut31",11.9820596368282,2292.875
"6433","tgut31",11.8901060561068,2265.25
"6434","tgut31",11.7709732725667,2237.625
"6435","tgut31",11.6947535057512,2210
"6436","tgut31",11.5948303617772,2182.375
"6437","tgut31",11.4615985452532,2154.75
"6438","tgut31",11.2999633501621,2127.125
"6439","tgut31",11.370461388757,2099.5
"6440","tgut31",11.2819807600202,2071.875
"6441","tgut31",11.1309716559411,2044.25
"6442","tgut31",11.0322736389323,2016.625
"6443","tgut31",10.9405234483516,1989
"6444","tgut31",10.8070882316742,1961.375
"6445","tgut31",10.7069597851135,1933.75
"6446","tgut31",10.4868821207747,1906.125
"6447","tgut31",10.3816459413074,1878.5
"6448","tgut31",10.2285924023496,1850.875
"6449","tgut31",10.1668813124619,1823.25
"6450","tgut31",9.98276787719023,1795.625
"6451","tgut31",9.94271669081182,1768
"6452","tgut31",9.76514334346135,1740.375
"6453","tgut31",9.60166807287174,1712.75
"6454","tgut31",9.36013485839633,1685.125
"6455","tgut31",9.19216489399109,1657.5
